name,kind,path,url,commit,sha256,fetched,use
HarmBench,git-submodule,third_party/harmbench,https://github.com/centerforaisafety/HarmBench.git,8e1604d1171fe8a48d8febecd22f600e462bdcdd,,2026-09-02,"AF harmful behaviors (data/behavior_datasets/harmbench_behaviors_text_{all,val,test}.csv)"
JailbreakBench JBB-Behaviors benign split,file,third_party/benign_sets/jbb_benign_behaviors.csv,https://huggingface.co/datasets/JailbreakBench/JBB-Behaviors/resolve/main/data/benign-behaviors.csv,,3cda234d21a991fa309bbfea4b6d9dae31ccdf8e9d452424b6a983e4fdc33468,2026-09-02,"AF benign counterpart (default), 100 prompts"
JailbreakBench JBB-Behaviors harmful split,file,third_party/benign_sets/jbb_harmful_behaviors.csv,https://huggingface.co/datasets/JailbreakBench/JBB-Behaviors/resolve/main/data/harmful-behaviors.csv,,4a8ec6832056b631eb092dccc60d37a61c3d441268268888b3d006288afeffa1,2026-09-02,"reference only (100 harmful behaviors, subset overlaps HarmBench)"
XSTest v2,file,third_party/benign_sets/xstest_v2_prompts.csv,https://raw.githubusercontent.com/paul-rottger/xstest/main/xstest_prompts.csv,,11783fb294ed017473ee53c207d71f2161c7672c8d0b037501e78387f801cb5a,2026-09-02,"AF benign counterpart (alternative), 250 safe prompts (label==safe)"
InjecAgent,vendored-working-tree,runtime/aag/InjecAgent,https://github.com/uiuc-kang-lab/InjecAgent.git,f19c9f2c79a41046eb13c03c51a24c567a8ffa07,,2025-12-30 (on the GPU VM),"AAG evaluation: data/test_cases_*.json, data/user_cases.jsonl"
AgentDojo,pypi-package (not vendored),datasets/sources/agentdojo_v1.2.2_extract.json,https://pypi.org/project/agentdojo/0.1.35/ ; https://github.com/ethz-spylab/agentdojo (MIT),"pypi 0.1.35, suites v1.2.2",8bf01e82e7a32e4781b51310e3e03426d0b57aadb9faa1aa7256a1207d8e2d59,2026-09-02,AAG benign side: 63 of 144 extracted ground-truth tool outputs (datasets/aag_benign_eval.jsonl subset=agentdojo)
AAG benign eval set (built),built-dataset,datasets/aag_benign_eval.jsonl,aase_eval/build_benign_set.py (deterministic),,0fb4b15a2bf64d69d09efb61d614235f9aa2625532a4bde41fd4c0b76e9ad001,2026-09-03,"AAG benign side, 120 cases; authored cases reviewed_by Glen Messenger 2026-09-03"
